"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Operational","ECR error","Gate length (ns)"
"42","126.83419603013441","111.14655155433186","5.063937511001741","-0.3066601274184393","0.02587890625","0.01220703125","0.00048828125","1300","0.0005860000612303139","60","0","0.0005860000612303139","0.0005860000612303139","Yes","41:0.008065026376096684;43:0.007101278429292562","41:660;43:660"
"43","191.37044124125978","186.86780395182683","4.8295311585821725","-0.3101290706249939","0.02099609375","0.01806640625","0.01025390625","1300","0.0001583803003404208","60","0","0.0001583803003404208","0.0001583803003404208","Yes","44:0.00849838994798377","44:660"
"44","252.75872506811695","20.032097916073486","4.949158709640925","-0.3085061819189273","0.047119140625","0.02880859375","0.02685546875","1300","0.0003838447526874324","60","0","0.0003838447526874324","0.0003838447526874324","Yes","45:0.008565379113551458","45:660"
"45","228.89865059167923","26.506794208502317","4.999480280925808","-0.35905492913025383","0.06640625","0.04443359375","0.08740234375","1300","0.0005609859259914594","60","0","0.0005609859259914594","0.0005609859259914594","Yes","",""
"46","157.99519342980844","137.15091696495884","4.853142037447482","-0.3093752065131216","0.022705078125","0.0166015625","0.01123046875","1300","0.00033733220865158324","60","0","0.00033733220865158324","0.00033733220865158324","Yes","45:0.016822955586024535;47:0.005690380670620665","45:660;47:660"
"47","189.85219673507834","156.28275051316498","4.769548912104434","-0.3109329882546267","0.0078125","0.025390625","0.00634765625","1300","0.0002769643562321647","60","0","0.0002769643562321647","0.0002769643562321647","Yes","",""
"48","256.1172489599021","77.334136080058","4.8441812927921495","-0.3101551740988557","0.0281982421875","0.01416015625","0.01904296875","1300","0.000528413225082661","60","0","0.000528413225082661","0.000528413225082661","Yes","47:0.006018843988882555;49:0.007495998418401428","47:660;49:660"
"49","259.8502787208085","141.54148665498806","4.6973489031739355","-0.312183453636997","0.010986328125","0.01611328125","0.01123046875","1300","0.00020861385791086007","60","0","0.00020861385791086007","0.00020861385791086007","Yes","",""
"50","360.5152791793176","140.0862106154565","4.784046825367168","-0.31049210238863767","0.0181884765625","0.0126953125","0.01513671875","1300","0.00022359985333505797","60","0","0.00022359985333505797","0.00022359985333505797","Yes","49:0.006362248687774269;51:0.005804565314431104","49:660;51:660"
"51","258.96343302901886","138.09967032736884","4.931191986281057","-0.3079514036835037","0.062255859375","0.12451171875","0.015625","1300","0.0002132481417740822","60","0","0.0002132481417740822","0.0002132481417740822","Yes","",""
"52","235.26572383643745","162.48628304356845","4.915272401508659","-0.30801090653647334","0.01220703125","0.01123046875","0.01318359375","1300","0.0001753580643938277","60","0","0.0001753580643938277","0.0001753580643938277","Yes","37:0.004661091244023113;56:0.0047729670113368095","37:660;56:660"
"53","225.41343358001853","239.98605313064138","4.996630426777128","-0.30683792833129964","0.01611328125","0.00732421875","0.01025390625","1300","0.0002842440721677142","60","0","0.0002842440721677142","0.0002842440721677142","Yes","60:0.005953737229474898","60:660"
"54","235.42125127224818","140.61089944937106","4.96956684927841","-0.3069935236147513","0.0185546875","0.02392578125","0.0087890625","1300","0.0003782448956640671","60","0","0.0003782448956640671","0.0003782448956640671","Yes","64:0.006545545015220033;45:0.014601882301067154","64:660;45:660"
"55","265.57536803763486","122.57464320264243","4.837195872230681","-0.31038048092010345","0.0367431640625","0.033203125","0.0341796875","1300","0.00016468426650147026","60","0","0.00016468426650147026","0.00016468426650147026","Yes","68:0.004308296464918093;49:0.006505298009210875","68:660;49:660"
"56","297.0106499177226","121.03941312101632","4.814526834827773","-0.30974571553277236","0.01611328125","0.0087890625","0.0166015625","1300","0.00014953836756238418","60","0","0.00014953836756238418","0.00014953836756238418","Yes","57:0.0043311663976416115","57:660"
"57","297.093470656597","190.2945560522173","4.927648201307412","-0.30778611849622645","0.01904296875","0.02392578125","0.01611328125","1300","0.0001403512375682425","60","0","0.0001403512375682425","0.0001403512375682425","Yes","58:0.00487732068250854","58:660"
"58","149.602145412759","101.23757485309315","4.886984815859662","-0.30930018015034827","0.0166015625","0.00927734375","0.01171875","1300","0.00021595362714688072","60","0","0.00021595362714688072","0.00021595362714688072","Yes","71:0.004387852750529803;59:0.006479952362868996","71:660;59:660"
"59","240.70433658249544","40.03092113366904","4.971231670153094","-0.30762691104199297","0.0157470703125","0.01220703125","0.0263671875","1300","0.00024663454687093045","60","0","0.00024663454687093045","0.00024663454687093045","Yes","60:0.007490343813682715","60:660"
"60","136.16376017084923","80.16693429236209","4.766258267135564","-0.31054248475500074","0.0274658203125","0.02587890625","0.03076171875","1300","0.0004359627812586979","60","0","0.0004359627812586979","0.0004359627812586979","Yes","61:0.01305072001084126","61:660"
"61","213.8259938277421","151.45929362455107","4.793797872781411","-0.29056402780855567","0.012451171875","0.013671875","0.01416015625","1300","0.00042594233658523734","60","0","0.00042594233658523734","0.00042594233658523734","Yes","",""
"62","271.12031818288773","241.76636074847258","4.93521957988749","-0.3079921198487331","0.01513671875","0.0166015625","0.0166015625","1300","0.0007279848100191836","60","0","0.0007279848100191836","0.0007279848100191836","Yes","72:0.017883930436740136;61:0.007787317284517814;63:0.03135124354028271","72:660;61:660;63:660"
"63","26.978467385042396","29.35042701090745","5.041611267894438","-0.30694631371315323","0.0283203125","0.03955078125","0.00830078125","1300","0.0016461692458897414","60","0","0.0016461692458897414","0.0016461692458897414","Yes","64:0.007997741147995008","64:660"
"64","194.68978396904487","146.26467649930345","4.821554438597999","-0.30967161679000116","0.017333984375","0.0244140625","0.009765625","1300","0.00019606949030977682","60","0","0.00019606949030977682","0.00019606949030977682","Yes","",""
"65","136.26390713886747","73.98528511095839","4.957160526063224","-0.3075262411046977","0.011474609375","0.01806640625","0.0126953125","1300","0.0002153131325211829","60","0","0.0002153131325211829","0.0002153131325211829","Yes","64:0.004814035099457686;66:0.012680445804555823","64:660;66:660"
"66","204.78755319101975","142.6447812265869","4.884984746663499","-0.3091067496263565","0.01806640625","0.01025390625","0.0224609375","1300","0.0003189676863149","60","0","0.0003189676863149","0.0003189676863149","Yes","",""
"67","310.22087036051136","156.63107824551204","5.113933891682055","-0.3058889857295697","0.1097412109375","0.16015625","0.04345703125","1300","0.0001645052351051306","60","0","0.0001645052351051306","0.0001645052351051306","Yes","68:0.0062311685755027935;66:0.015039088895147962","68:660;66:660"
"68","307.9450644345208","27.18726877472991","4.743746655380908","-0.31111458963233274","0.2296142578125","0.4150390625","0.0859375","1300","0.00021419138687603934","60","0","0.00021419138687603934","0.00021419138687603934","Yes","",""
"69","225.30843428861544","191.986201523653","5.117664315897506","-0.3044028997353383","0.0263671875","0.013671875","0.0234375","1300","0.00023381162058406997","60","0","0.00023381162058406997","0.00023381162058406997","Yes","68:0.0046764331186618935;70:0.0042188640000930255","68:660;70:660"
"70","256.6894064604105","81.47454776708608","4.898858449137667","-0.3082399407301921","0.031494140625","0.0166015625","0.03369140625","1300","0.00015071310673510425","60","0","0.00015071310673510425","0.00015071310673510425","Yes","",""
"71","251.3435005053602","334.479362627669","4.7882809308285905","-0.3094663460422399","0.0108642578125","0.00927734375","0.00830078125","1300","0.00012738727564508523","60","0","0.00012738727564508523","0.00012738727564508523","Yes","",""
"72","140.77259391624563","118.49470952166992","5.059196949556962","-0.2985458699744989","0.01611328125","0.00927734375","0.0126953125","1300","0.00022123726572353283","60","0","0.00022123726572353283","0.00022123726572353283","Yes","",""
"73","141.57870060081623","136.11521727967488","4.979583933125776","-0.307607369486609","0.02392578125","0.01708984375","0.01806640625","1300","0.0003816198042195867","60","0","0.0003816198042195867","0.0003816198042195867","Yes","66:0.013524322411838346","66:660"
"74","210.92193058279872","15.713542716307133","5.031398731964344","-0.3067427013413316","0.2327880859375","0.22021484375","0.2734375","1300","0.0011841712756610753","60","0","0.0011841712756610753","0.0011841712756610753","Yes","70:0.023427009485397;89:0.027150851004834442","70:660;89:660"
"75","194.02558507516528","49.05394315379735","5.006001248946336","-0.30673349842246334","0.0107421875","0.01123046875","0.01025390625","1300","0.0004878116195733889","60","0","0.0004878116195733889","0.0004878116195733889","Yes","90:0.00823044864684988","90:660"
"76","291.6219169653319","205.75757615632597","4.837425171816429","-0.30948286299394656","0.0203857421875","0.00830078125","0.01171875","1300","0.0001336816683249357","60","0","0.0001336816683249357","0.0001336816683249357","Yes","75:0.006610524813310981","75:660"
"77","309.3413573010501","140.45224280103042","5.04193169666161","-0.30723078653018854","0.0364990234375","0.0146484375","0.0458984375","1300","0.00020557315772841948","60","0","0.00020557315772841948","0.00020557315772841948","Yes","76:0.0045383105563825965;78:0.005790411853241223;71:0.004136673549439723","76:660;78:780;71:660"
"78","231.27698742865755","239.72666296166489","4.643395059476256","-0.31230747337772335","0.013916015625","0.01708984375","0.0078125","1300","0.0002045100326773914","60","0","0.0002045100326773914","0.0002045100326773914","Yes","",""
"79","281.21195850099656","55.10107509759605","4.863175198563241","-0.3092713261857367","0.016357421875","0.01171875","0.0234375","1300","0.00020194482093757876","60","0","0.00020194482093757876","0.00020194482093757876","Yes","78:0.004955733808450241;80:0.005480956913290619","78:660;80:660"
"80","262.03502963225213","300.6026201732488","5.031456232889879","-0.3072198090686745","0.026123046875","0.05029296875","0.02001953125","1300","0.00015850054776507947","60","0","0.00015850054776507947","0.00015850054776507947","Yes","81:0.004649376039092462","81:660"
"81","185.51619768418334","169.78030860242833","4.9304440432184755","-0.30841914125984865","0.0469970703125","0.04345703125","0.03955078125","1300","0.0003670714065697299","60","0","0.0003670714065697299","0.0003670714065697299","Yes","82:0.007026576594071687;72:0.006833628812976805","82:660;72:660"
"82","235.99931645696373","273.75745747632595","4.893613447095588","-0.30897996872816896","0.0301513671875","0.01806640625","0.01806640625","1300","0.000506784414214966","60","0","0.000506784414214966","0.000506784414214966","Yes","83:0.0052391710058693475","83:660"
"83","276.22259601925003","41.76844064062723","4.790691092826025","-0.31061744032224003","0.029052734375","0.01220703125","0.02783203125","1300","0.00019715189772630037","60","0","0.00019715189772630037","0.00019715189772630037","Yes","92:0.005020788512307445","92:660"
"84","171.88733262919524","129.28209400097967","4.679663465633311","-0.31137294267603616","0.0157470703125","0.01611328125","0.00830078125","1300","0.00018885529384249898","60","0","0.00018885529384249898","0.00018885529384249898","Yes","83:0.004851177434295445","83:660"
"85","202.33200947951323","189.55603037808245","5.10479408741775","-0.3061413803895981","0.0213623046875","0.01513671875","0.01611328125","1300","0.00045640673866451044","60","0","0.00045640673866451044","0.00045640673866451044","Yes","73:0.0178542010725716;84:0.15700624800310609;86:0.01951477616622327","73:660;84:660;86:660"
"86","125.62455030602527","75.76087118132833","4.898836804453862","-0.3083187869423004","0.025634765625","0.017578125","0.0185546875","1300","0.0004349522844233365","60","0","0.0004349522844233365","0.0004349522844233365","Yes","87:0.006578274174381643","87:660"
"87","200.64234389646012","142.20518383783036","4.992087118117893","-0.307423102897223","0.0355224609375","0.02587890625","0.01953125","1300","0.0008402730905120691","60","0","0.0008402730905120691","0.0008402730905120691","Yes","88:0.015187283209582542","88:660"
"88","166.6317246990519","18.266520612806616","5.099319646778327","-0.3058997453558384","0.0625","0.0634765625","0.0751953125","1300","0.0009997963802245205","60","0","0.0009997963802245205","0.0009997963802245205","Yes","89:0.0206142691041315","89:660"
"89","286.1079276105326","14.242817651371867","4.95646581160191","-0.3077261951848229","0.0523681640625","0.01806640625","0.1982421875","1300","0.0004505281697382489","60","0","0.0004505281697382489","0.0004505281697382489","Yes","",""
"90","247.66617865656005","31.489757388623758","4.9056011695467285","-0.307867793738734","0.01171875","0.00927734375","0.00341796875","1300","0.0002923971475177508","60","0","0.0002923971475177508","0.0002923971475177508","Yes","",""
"91","138.3025894737282","162.28215970018545","4.914598539684343","-0.30850221183732857","0.0487060546875","0.06396484375","0.04248046875","1300","0.0005093073759830557","60","0","0.0005093073759830557","0.0005093073759830557","Yes","79:0.006468504941366776","79:660"
"92","140.01817764035607","71.11831134006356","4.912098977171284","-0.308588011384664","0.018798828125","0.015625","0.0166015625","1300","0.00023838550901459548","60","0","0.00023838550901459548","0.00023838550901459548","Yes","102:0.004610942346943203","102:660"
"93","285.4983132232474","28.459814874670126","4.9640895570530725","-0.3073815906362206","0.1026611328125","0.0546875","0.099609375","1300","0.0005689891015468402","60","0","0.0005689891015468402","0.0005689891015468402","Yes","106:0.013802831001898969;87:0.016101101943399504","106:660;87:740"
"94","190.5026810250354","146.3650634443386","4.975871881374298","-0.3076458715160733","0.028076171875","0.01025390625","0.03173828125","1300","0.00027346816167520417","60","0","0.00027346816167520417","0.00027346816167520417","Yes","95:0.011208134578637285;90:0.009322264795575602","95:660;90:660"
"95","247.51847226014945","153.34460272803508","4.838861809351938","-0.3098764431196092","0.065673828125","0.1083984375","0.0107421875","1300","0.00035956310521977715","60","0","0.00035956310521977715","0.00035956310521977715","Yes","96:0.006955007924234868","96:660"
"96","267.01714052152334","70.52818193971761","4.747930610576672","-0.3109191907797597","0.044677734375","0.04541015625","0.0390625","1300","0.00016844489503632732","60","0","0.00016844489503632732","0.00016844489503632732","Yes","",""
"97","304.13774012376575","133.34257669080722","4.8161672175415315","-0.3095561501235201","0.01708984375","0.0166015625","0.01611328125","1300","0.00018468082920825122","60","0","0.00018468082920825122","0.00018468082920825122","Yes","96:0.005523860816509102;98:0.0072688604620212705","96:660;98:660"
"98","213.57381438941275","123.09906349967748","4.9428955797662795","-0.308363471215884","0.0140380859375","0.0205078125","0.00830078125","1300","0.0002888831566473918","60","0","0.0002888831566473918","0.0002888831566473918","Yes","91:0.04499525171952723","91:660"
"99","165.05363674060345","157.20776182039677","5.060106141517732","-0.30553728570536653","0.0184326171875","0.00830078125","0.013671875","1300","0.0002536076854416282","60","0","0.0002536076854416282","0.0002536076854416282","Yes","98:0.006007080069232396","98:660"
"100","150.54773999968612","151.17053415256214","4.905358318158968","-0.3084392241160231","0.0263671875","0.01513671875","0.0244140625","1300","0.0005332752090776952","60","0","0.0005332752090776952","0.0005332752090776952","Yes","110:0.018659320687561626;99:0.03143374737863672","110:660;99:660"
"101","267.97493645221317","242.36982799567096","5.0654113815667055","-0.3063331480679172","0.026123046875","0.0087890625","0.044921875","1300","0.00019005982580019124","60","0","0.00019005982580019124","0.00019005982580019124","Yes","100:0.015622553506670606;102:0.004796187739089852","100:660;102:660"
"102","210.16691080630153","217.84307493599778","4.809691184101257","-0.30996470519230634","0.0555419921875","0.056640625","0.06298828125","1300","0.00016437426015785732","60","0","0.00016437426015785732","0.00016437426015785732","Yes","103:0.005332909306011879","103:660"
"103","139.92520771232634","68.15722734549233","4.933447088416211","-0.30764620230723944","0.031982421875","0.056640625","0.00732421875","1300","0.00039779143993688373","60","0","0.00039779143993688373","0.00039779143993688373","Yes","",""
