"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"34","223.2486389050349","70.28254855341953","4.710723329034998","-0.28769666514137593","0.122","0.083","0.16100000000000003","1216","0.0013242150617375956","0","0.0013242150617375956","0.0013242150617375956","34_24:0.03466094099254935","34_24:533.3333333333333","true"
"35","204.75892652943347","57.432807673551345","4.9145274034418005","-0.30919638014483275","0.0129999999999999","0.014599999999999946","0.0114","1216","0.0003007166039113199","0","0.0003007166039113199","0.0003007166039113199","35_47:0.008656294944025644;35_28:0.012282930435433964","35_47:533.3333333333333;35_28:533.3333333333333","true"
"36","186.83908008093667","59.15079820008287","4.853991940588241","-0.31028310857915326","0.007000000000000006","0.0102","0.0038000000000000256","1216","0.0002235111044867083","0","0.0002235111044867083","0.0002235111044867083","36_51:0.006817682196534114","36_51:533.3333333333333","true"
"37","305.23865970124893","35.89092809509048","4.593861816994554","-0.315389846608389","0.03149999999999997","0.0314","0.03159999999999996","1216","0.000676129639884943","0","0.000676129639884943","0.000676129639884943","37_38:0.01523690108409198","37_38:533.3333333333333","true"
"38","433.7750681897164","124.6376583355985","4.485857079146745","-0.31593779214327095","0.03469999999999995","0.0242","0.0452","1216","0.0002498316916586538","0","0.0002498316916586538","0.0002498316916586538","38_39:0.0077952854334521204","38_39:533.3333333333333","true"
"39","434.283812511867","132.20666913387652","4.574236575295852","-0.3140308325815774","0.03770000000000007","0.034","0.04139999999999999","1216","0.0002756374785080466","0","0.0002756374785080466","0.0002756374785080466","","","true"
"40","283.3966611845521","254.1467201405986","4.705520310734096","-0.31264268217270236","0.010700000000000043","0.011600000000000055","0.0098","1216","0.0002991575484884147","0","0.0002991575484884147","0.0002991575484884147","40_39:0.007206702349763172","40_39:590.2222222222222","true"
"41","242.67557911432468","294.45019476765555","4.814564020849521","-0.3126369186509598","0.00990000000000002","0.012199999999999989","0.0076","1216","0.00025146531573652295","0","0.00025146531573652295","0.00025146531573652295","41_40:0.019844766138541498;41_53:0.011677999272107775","41_40:533.3333333333333;41_53:533.3333333333333","true"
"42","326.440414897758","251.67795067000563","4.654733071608244","-0.3142873185900896","0.037699999999999956","0.04179999999999995","0.0336","1216","0.00038459539018787485","0","0.00038459539018787485","0.00038459539018787485","42_41:0.00678071676724365","42_41:533.3333333333333","true"
"43","343.68866830320326","106.07058991768369","4.7551445590507235","-0.31327741535760273","0.007000000000000006","0.008000000000000007","0.006","1216","0.0005068094185295488","0","0.0005068094185295488","0.0005068094185295488","43_44:0.006497000494685268;43_34:0.021619056500934375;43_42:0.014899879393611537","43_44:533.3333333333333;43_34:533.3333333333333;43_42:533.3333333333333","true"
"44","296.52845782438936","296.15533650827336","4.868052170923375","-0.3104963912007421","0.007400000000000073","0.009000000000000008","0.0058","1216","0.000209533371184245","0","0.000209533371184245","0.000209533371184245","","","true"
"45","318.1577955231836","443.86080741742416","4.762850179061688","-0.3110511707571012","0.01429999999999998","0.02200000000000002","0.0066","1216","0.00011726412504997163","0","0.00011726412504997163","0.00011726412504997163","45_46:0.005329207099200706;45_44:0.006136277671996926","45_46:533.3333333333333;45_44:533.3333333333333","true"
"46","256.006119030136","248.73533013868754","4.674088553602355","-0.31335055063587447","0.007900000000000018","0.011199999999999988","0.0046","1216","0.00016933753290315775","0","0.00016933753290315775","0.00016933753290315775","","","true"
"47","361.03120740040873","132.03454835423352","4.795122037806665","-0.31225140541662605","0.013700000000000045","0.018399999999999972","0.009","1216","0.00010726712546696885","0","0.00010726712546696885","0.00010726712546696885","47_48:0.003302874796428268;47_46:0.0021438325471802577","47_48:533.3333333333333;47_46:533.3333333333333","true"
"48","313.2404524777837","266.46229328049964","4.707253719586442","-0.31164980062742437","0.008799999999999919","0.009399999999999964","0.0082","1216","0.0001516770353884001","0","0.0001516770353884001","0.0001516770353884001","","","true"
"49","157.87437507063063","159.63193281170194","4.810804908106394","-0.31113135217025384","0.010800000000000032","0.012","0.009600000000000053","1216","0.00025998609017584224","0","0.00025998609017584224","0.00025998609017584224","49_50:0.004348041681141307;49_48:0.005446960652791488","49_50:590.2222222222222;49_48:533.3333333333333","true"
