"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"57","401.89626517330623","40.69997628549585","4.639629973812905","-0.3110258364070089","0.0036000000000000476","0.005800000000000027","0.0014","1244.4444444444443","0.0005900279865734341","0","0.0005900279865734341","0.0005900279865734341","57_58:0.027305071000310155;57_56:0.026718388798986442","57_58:561.7777777777777;57_56:561.7777777777777","true"
"58","230.65012860076405","40.36848054424751","4.609455751052915","-0.3120232272887944","0.006099999999999994","0.0094","0.0028000000000000247","1244.4444444444443","0.0005524157579237535","0","0.0005524157579237535","0.0005524157579237535","58_59:0.021993158969318777;58_71:0.021864211981976328","58_59:561.7777777777777;58_71:561.7777777777777","true"
"59","364.5280678717521","81.01945411628697","4.76999157025314","-0.3055632788590134","0.0015000000000000568","0.0028000000000000247","0.0002","1244.4444444444443","0.0001469487007229276","0","0.0001469487007229276","0.0001469487007229276","59_60:0.01835615510665098","59_60:561.7777777777777","true"
"60","203.43162849076546","399.2747210809102","4.517592199495571","-0.3130252570847025","0.008399999999999963","0.0094","0.007399999999999962","1244.4444444444443","0.00013081996176669814","0","0.00013081996176669814","0.00013081996176669814","60_61:0.008463305236399793","60_61:561.7777777777777","true"
"61","316.50186451871303","139.04018382852655","4.689239361479816","0","0.011400000000000077","0.012800000000000034","0.01","1244.4444444444443","0.00018856289637113818","0","0.00018856289637113818","0.00018856289637113818","61_62:0.011930920725298805","61_62:561.7777777777777","true"
"62","147.77872816813138","26.673894346356487","4.647055737544851","-0.2863049460361145","0.033299999999999996","0.04039999999999999","0.0262","1244.4444444444443","0.0014344451487636632","0","0.0014344451487636632","0.0014344451487636632","","","true"
"63","320.8227378815594","173.51282646200374","4.507450185424397","-0.32264290979581867","0.0036000000000000476","0.0048000000000000265","0.0024","1244.4444444444443","0.00021264957340282512","0","0.00021264957340282512","0.00021264957340282512","63_62:0.012811308293420115;63_64:0.005439942506395734","63_62:561.7777777777777;63_64:561.7777777777777","true"
"64","333.83355820013196","41.966413280312864","4.463143467075552","0","0.006399999999999961","0.0082","0.0046000000000000485","1244.4444444444443","0.00024326308237530205","0","0.00024326308237530205","0.00024326308237530205","64_65:0.017552530642542613","64_65:561.7777777777777","true"
"65","81.45610359517741","141.40070079060862","4.615142959186085","-0.31101251617313946","0.18369999999999997","0.35040000000000004","0.017","1244.4444444444443","0.025468402065414987","0","0.025468402065414987","0.025468402065414987","","","true"
"66","353.45341114744167","99.30662782773261","4.650572635962616","-0.29034076699160294","0.018100000000000005","0.0234","0.012800000000000034","1244.4444444444443","0.002763676700699577","0","0.002763676700699577","0.002763676700699577","66_65:0.03102108192060435;66_67:0.019202447013326962","66_65:561.7777777777777;66_67:561.7777777777777","true"
"67","164.39629860800463","80.8500470239952","4.714534422439762","-0.3101140892003641","0.008399999999999963","0.009800000000000031","0.007","1244.4444444444443","0.0002665855157755899","0","0.0002665855157755899","0.0002665855157755899","67_68:0.019088564511791972","67_68:561.7777777777777","true"
"68","294.18654634325287","104.40019862629144","4.612759324404478","-0.31130677970698856","0.010099999999999998","0.0116","0.008600000000000052","1244.4444444444443","0.0002463224276978147","0","0.0002463224276978147","0.0002463224276978147","68_69:0.009174077772512751;68_55:0.007898838276063191","68_69:561.7777777777777;68_55:561.7777777777777","true"
"69","179.09081338176887","89.29544536915644","4.551436762082377","-0.31213146441791095","0.0023999999999999577","0.0040000000000000036","0.0008","1244.4444444444443","0.00023082807615709713","0","0.00023082807615709713","0.00023082807615709713","69_70:0.008700401306744349","69_70:561.7777777777777","true"
"70","287.2262905142315","78.68349126774915","4.711915886797051","-0.30937241746400446","0.0018000000000000238","0.0018000000000000238","0.0018","1244.4444444444443","0.00017732809132515827","0","0.00017732809132515827","0.00017732809132515827","70_74:0.008071762391191395","70_74:561.7777777777777","true"
"71","307.6249715332817","51.25680753484175","4.546007467549509","-0.30894805896719","0.012299999999999978","0.014800000000000035","0.0098","1244.4444444444443","0.0005174147397088137","0","0.0005174147397088137","0.0005174147397088137","","","true"
"72","299.73486971316066","293.1636565856281","4.576604382216411","-0.31191901483735823","0.0017000000000000348","0.0031999999999999806","0.0002","1244.4444444444443","0.00012244223772949533","0","0.00012244223772949533","0.00012244223772949533","72_62:0.012075012241975297;72_81:0.007407637040831194","72_62:561.7777777777777;72_81:561.7777777777777","true"
